r01,r12,r21,r3x
s105,0.356756756756757,0.351351351351351,0.189189189189189,0.102702702702703
s106,0.0862944162436548,0.390862944162437,0.299492385786802,0.223350253807107
s107,0.625668449197861,0.294117647058824,0.053475935828877,0.0267379679144385
s108,0.0502793296089385,0.385474860335196,0.229050279329609,0.335195530726257
s109,0.902173913043478,0.0597826086956522,0.0271739130434783,0.0108695652173913
s110,0.122340425531915,0.308510638297872,0.218085106382979,0.351063829787234
s111,0.0204081632653061,0.23469387755102,0.346938775510204,0.397959183673469
s112,0.0789473684210526,0.5,0.242105263157895,0.178947368421053
s113,0.372340425531915,0.393617021276596,0.154255319148936,0.0797872340425532
s114,0.0216216216216216,0.140540540540541,0.308108108108108,0.52972972972973
s115,0.0216216216216216,0.297297297297297,0.351351351351351,0.32972972972973
s116,0.050761421319797,0.395939086294416,0.279187817258883,0.274111675126904
s117,0.0855614973262032,0.294117647058824,0.272727272727273,0.347593582887701
s118,0.0279329608938547,0.251396648044693,0.340782122905028,0.379888268156425
s119,0.608695652173913,0.260869565217391,0.0923913043478261,0.0380434782608696
s120,0.0531914893617021,0.106382978723404,0.329787234042553,0.51063829787234
s121,0.163265306122449,0.392857142857143,0.229591836734694,0.214285714285714
s122,0.031413612565445,0.340314136125654,0.324607329842932,0.303664921465969
s123,0.0638297872340425,0.308510638297872,0.329787234042553,0.297872340425532
s124,0.589189189189189,0.221621621621622,0.108108108108108,0.0810810810810811
s125,0.854054054054054,0.113513513513514,0.027027027027027,0.00540540540540541
s126,0.0812182741116751,0.248730964467005,0.3248730964467,0.345177664974619
s127,0.0374331550802139,0.240641711229947,0.342245989304813,0.379679144385027
s128,0.0391061452513966,0.363128491620112,0.217877094972067,0.379888268156425
s129,0.0271739130434783,0.173913043478261,0.326086956521739,0.472826086956522
s130,0.718085106382979,0.196808510638298,0.0585106382978723,0.0265957446808511
s131,0.076530612244898,0.51530612244898,0.239795918367347,0.168367346938776
s132,0.654450261780105,0.235602094240838,0.0680628272251309,0.0418848167539267
s133,0.148936170212766,0.356382978723404,0.276595744680851,0.218085106382979
s134,0.172972972972973,0.302702702702703,0.297297297297297,0.227027027027027
s135,0.686486486486486,0.227027027027027,0.0702702702702703,0.0162162162162162
s136,0.0152284263959391,0.213197969543147,0.263959390862944,0.50761421319797
s137,0.0748663101604278,0.491978609625668,0.25668449197861,0.176470588235294
s138,0.100558659217877,0.262569832402235,0.41340782122905,0.223463687150838
s139,0.467391304347826,0.364130434782609,0.141304347826087,0.0271739130434783
s140,0.0478723404255319,0.23936170212766,0.398936170212766,0.313829787234043
s141,0.0153061224489796,0.0816326530612245,0.270408163265306,0.63265306122449
s142,0.1,0.4,0.215789473684211,0.284210526315789
s143,0.143617021276596,0.48936170212766,0.207446808510638,0.159574468085106
s144,0.405405405405405,0.372972972972973,0.118918918918919,0.102702702702703
s145,0.443243243243243,0.410810810810811,0.102702702702703,0.0432432432432432
s146,0.619289340101523,0.284263959390863,0.0558375634517767,0.0406091370558376
s147,0.0160427807486631,0.283422459893048,0.358288770053476,0.342245989304813
s148,0.0726256983240224,0.318435754189944,0.229050279329609,0.379888268156425
s149,0.440217391304348,0.364130434782609,0.141304347826087,0.0543478260869565
s150,0.196808510638298,0.313829787234043,0.191489361702128,0.297872340425532
s151,0.816326530612245,0.147959183673469,0.0306122448979592,0.00510204081632653
s152,0.0575916230366492,0.235602094240838,0.298429319371728,0.408376963350785
s153,0.101063829787234,0.404255319148936,0.297872340425532,0.196808510638298
s154,0.0162162162162162,0.2,0.378378378378378,0.405405405405405
s155,0.0486486486486487,0.264864864864865,0.324324324324324,0.362162162162162
s156,0.0862944162436548,0.395939086294416,0.263959390862944,0.253807106598985
s157,0.101604278074866,0.401069518716578,0.288770053475936,0.20855614973262
s158,0.581005586592179,0.340782122905028,0.0502793296089385,0.0279329608938547
s159,0.00543478260869565,0.239130434782609,0.293478260869565,0.46195652173913
s160,0.111702127659574,0.319148936170213,0.319148936170213,0.25
s161,0.647959183673469,0.270408163265306,0.0561224489795918,0.0255102040816327
s162,0.450261780104712,0.319371727748691,0.130890052356021,0.0994764397905759
s163,0.0212765957446809,0.23936170212766,0.345744680851064,0.393617021276596
s164,0.0486486486486487,0.302702702702703,0.243243243243243,0.405405405405405
s165,0.0216216216216216,0.281081081081081,0.340540540540541,0.356756756756757
s166,0.0862944162436548,0.248730964467005,0.304568527918782,0.360406091370558
s167,0.0855614973262032,0.422459893048128,0.304812834224599,0.18716577540107
s168,0.681564245810056,0.229050279329609,0.0614525139664804,0.0279329608938547
s169,0.706521739130435,0.179347826086957,0.0706521739130435,0.0434782608695652
s170,0.0797872340425532,0.308510638297872,0.271276595744681,0.340425531914894
s171,0.331632653061224,0.438775510204082,0.142857142857143,0.086734693877551
s172,0.0732984293193717,0.298429319371728,0.31413612565445,0.31413612565445
s173,0.718085106382979,0.223404255319149,0.0372340425531915,0.0212765957446809
s174,0.0378378378378378,0.27027027027027,0.302702702702703,0.389189189189189
s175,0.0432432432432432,0.459459459459459,0.324324324324324,0.172972972972973
s176,0.0050761421319797,0.0761421319796954,0.157360406091371,0.761421319796954
s177,0.0695187165775401,0.358288770053476,0.27807486631016,0.294117647058824
s178,0.0335195530726257,0.385474860335196,0.268156424581006,0.312849162011173
s179,0.815217391304348,0.114130434782609,0.0326086956521739,0.0380434782608696
s180,0.0531914893617021,0.170212765957447,0.223404255319149,0.553191489361702
s181,0.198979591836735,0.479591836734694,0.214285714285714,0.107142857142857
s182,0.0575916230366492,0.361256544502618,0.256544502617801,0.324607329842932
s183,0.0106382978723404,0.0478723404255319,0.228723404255319,0.712765957446808
s184,0.2,0.475675675675676,0.243243243243243,0.0810810810810811
s185,0.0378378378378378,0.302702702702703,0.389189189189189,0.27027027027027
s186,0.456852791878173,0.34010152284264,0.126903553299492,0.0761421319796954
s187,0.176470588235294,0.475935828877005,0.219251336898396,0.128342245989305
s188,0.0223463687150838,0.0949720670391061,0.251396648044693,0.631284916201117
s189,0.0489130434782609,0.282608695652174,0.315217391304348,0.353260869565217
s190,0.0478723404255319,0.287234042553192,0.308510638297872,0.356382978723404
s191,0.852040816326531,0.13265306122449,0.0102040816326531,0.00510204081632653
s192,0.0947368421052632,0.415789473684211,0.284210526315789,0.205263157894737
s193,0.700534759358289,0.219251336898396,0.0695187165775401,0.0106951871657754
s194,0.0810810810810811,0.394594594594595,0.275675675675676,0.248648648648649
s195,0.0918918918918919,0.297297297297297,0.389189189189189,0.221621621621622
s196,0.776649746192893,0.131979695431472,0.0609137055837563,0.0304568527918782
s197,0.112299465240642,0.470588235294118,0.267379679144385,0.149732620320856
s198,0.435331230283912,0.113564668769716,0.0157728706624606,0.435331230283912
s199,0.853260869565217,0.114130434782609,0.0108695652173913,0.0217391304347826
s200,0.558510638297872,0.324468085106383,0.106382978723404,0.0106382978723404
s201,0.0153061224489796,0.173469387755102,0.362244897959184,0.448979591836735
s202,0.0631578947368421,0.294736842105263,0.342105263157895,0.3
s203,0.0319148936170213,0.223404255319149,0.361702127659574,0.382978723404255
s204,0.0432432432432432,0.405405405405405,0.291891891891892,0.259459459459459
s205,0.205405405405405,0.383783783783784,0.286486486486487,0.124324324324324
s206,0.553299492385787,0.33502538071066,0.0812182741116751,0.0304568527918782
s207,0.834224598930481,0.13903743315508,0.0106951871657754,0.0160427807486631
s208,0.0893854748603352,0.452513966480447,0.268156424581006,0.189944134078212
s209,0.108695652173913,0.282608695652174,0.309782608695652,0.298913043478261
s210,0.0265957446808511,0.212765957446809,0.276595744680851,0.484042553191489
s211,0.831632653061224,0.11734693877551,0.0408163265306122,0.0102040816326531
s212,0.267015706806283,0.308900523560209,0.277486910994764,0.146596858638743
s213,0.122340425531915,0.313829787234043,0.308510638297872,0.25531914893617
s214,0.389189189189189,0.410810810810811,0.124324324324324,0.0756756756756757
s215,0.0432432432432432,0.248648648648649,0.448648648648649,0.259459459459459
s216,0.588832487309645,0.263959390862944,0.0761421319796954,0.0710659898477157
s217,0.593582887700535,0.251336898395722,0.0909090909090909,0.0641711229946524
s218,0.0502793296089385,0.162011173184358,0.251396648044693,0.536312849162011
s219,0.0380434782608696,0.0597826086956522,0.222826086956522,0.679347826086957
s220,0.920212765957447,0.0585106382978723,0.0159574468085106,0.00531914893617021
s221,0.076530612244898,0.137755102040816,0.23469387755102,0.551020408163265
s222,0.342105263157895,0.410526315789474,0.157894736842105,0.0894736842105263
s223,0.579787234042553,0.281914893617021,0.106382978723404,0.0319148936170213
s224,0.0810810810810811,0.421621621621622,0.286486486486487,0.210810810810811
s225,0.237837837837838,0.481081081081081,0.178378378378378,0.102702702702703
s226,0.0253807106598985,0.131979695431472,0.375634517766497,0.467005076142132
s227,0.0267379679144385,0.331550802139037,0.294117647058824,0.347593582887701
s228,0.0167597765363128,0.284916201117318,0.290502793296089,0.407821229050279
s229,0.592391304347826,0.260869565217391,0.103260869565217,0.0434782608695652
s230,0.0212765957446809,0.122340425531915,0.351063829787234,0.50531914893617
s231,0.724489795918367,0.163265306122449,0.076530612244898,0.0357142857142857
s232,0.131578947368421,0.452631578947368,0.242105263157895,0.173684210526316
s233,0.340425531914894,0.372340425531915,0.170212765957447,0.117021276595745
s234,0.027027027027027,0.189189189189189,0.324324324324324,0.459459459459459
s235,0.0864864864864865,0.491891891891892,0.313513513513514,0.108108108108108
s236,0.0406091370558376,0.131979695431472,0.32994923857868,0.49746192893401
s237,0.657754010695187,0.25668449197861,0.0481283422459893,0.0374331550802139
s238,0.173184357541899,0.363128491620112,0.23463687150838,0.229050279329609
s239,0.0652173913043478,0.228260869565217,0.358695652173913,0.347826086956522
s240,0.074468085106383,0.271276595744681,0.303191489361702,0.351063829787234
s241,0.178571428571429,0.316326530612245,0.198979591836735,0.306122448979592
s242,0.0578947368421053,0.189473684210526,0.252631578947368,0.5
s243,0.0797872340425532,0.228723404255319,0.393617021276596,0.297872340425532
s244,0.410810810810811,0.416216216216216,0.12972972972973,0.0432432432432432
s245,0.745945945945946,0.167567567567568,0.0648648648648649,0.0216216216216216
s246,0.857868020304569,0.0964467005076142,0.0203045685279188,0.0253807106598985
s247,0.0427807486631016,0.219251336898396,0.320855614973262,0.417112299465241
s248,0.106145251396648,0.430167597765363,0.268156424581006,0.195530726256983
s249,0.0217391304347826,0.260869565217391,0.41304347826087,0.304347826086957
s250,0.345744680851064,0.398936170212766,0.154255319148936,0.101063829787234
s251,0.0510204081632653,0.352040816326531,0.331632653061224,0.26530612244898
s252,0.827225130890052,0.0994764397905759,0.0261780104712042,0.0471204188481675
s253,0.0106382978723404,0.101063829787234,0.271276595744681,0.617021276595745
s254,0.427027027027027,0.378378378378378,0.151351351351351,0.0432432432432432
s255,0.297297297297297,0.4,0.227027027027027,0.0756756756756757
s256,0.0152284263959391,0.137055837563452,0.3248730964467,0.522842639593909
s257,0.0320855614973262,0.347593582887701,0.315508021390374,0.304812834224599
s258,0.0614525139664804,0.430167597765363,0.251396648044693,0.256983240223464
s259,0.016304347826087,0.222826086956522,0.298913043478261,0.46195652173913
s260,0.207446808510638,0.462765957446808,0.202127659574468,0.127659574468085
s261,0.331632653061224,0.505102040816326,0.122448979591837,0.0408163265306122
s262,0.0209424083769634,0.162303664921466,0.298429319371728,0.518324607329843
s263,0.175531914893617,0.436170212765957,0.271276595744681,0.117021276595745
s264,0.00540540540540541,0.2,0.254054054054054,0.540540540540541
s265,0.427027027027027,0.324324324324324,0.145945945945946,0.102702702702703
s266,0.203045685279188,0.355329949238579,0.253807106598985,0.187817258883249
s267,0.759358288770054,0.160427807486631,0.0267379679144385,0.053475935828877
s268,0.240223463687151,0.290502793296089,0.273743016759777,0.195530726256983
s269,0.108695652173913,0.440217391304348,0.266304347826087,0.184782608695652
s270,0.728723404255319,0.207446808510638,0.0319148936170213,0.0319148936170213
s271,0.198979591836735,0.408163265306122,0.244897959183673,0.147959183673469
s272,0.109947643979058,0.408376963350785,0.235602094240838,0.246073298429319
s273,0.707446808510638,0.228723404255319,0.0531914893617021,0.0106382978723404
s274,0.113513513513514,0.486486486486487,0.232432432432432,0.167567567567568
s275,0.178378378378378,0.47027027027027,0.167567567567568,0.183783783783784
s276,0.644670050761421,0.269035532994924,0.065989847715736,0.0203045685279188
s277,0.133689839572193,0.25668449197861,0.224598930481283,0.385026737967914
s278,0.0223463687150838,0.307262569832402,0.268156424581006,0.402234636871508
s279,0.777173913043478,0.168478260869565,0.0434782608695652,0.0108695652173913
s280,0.0265957446808511,0.287234042553192,0.271276595744681,0.414893617021277
s281.0,0.0265957446808511,0.0957446808510638,0.276595744680851,0.601063829787234
s281.1,0.0204081632653061,0.137755102040816,0.326530612244898,0.51530612244898
s281.2,0.0209424083769634,0.130890052356021,0.308900523560209,0.539267015706806
s281.3,0.0106382978723404,0.127659574468085,0.340425531914894,0.521276595744681
s281.4,0.027027027027027,0.140540540540541,0.356756756756757,0.475675675675676
s281.5,0.027027027027027,0.108108108108108,0.324324324324324,0.540540540540541
s281.6,0.0050761421319797,0.106598984771574,0.279187817258883,0.609137055837564
s281.7,0.0160427807486631,0.13903743315508,0.32620320855615,0.518716577540107
s281.8,0.0167597765363128,0.134078212290503,0.284916201117318,0.564245810055866
s281.9,0.0217391304347826,0.108695652173913,0.298913043478261,0.570652173913043
s282.0,0.218085106382979,0.404255319148936,0.23936170212766,0.138297872340426
s282.1,0.188775510204082,0.413265306122449,0.26530612244898,0.13265306122449
s282.2,0.240837696335079,0.37696335078534,0.219895287958115,0.162303664921466
s282.3,0.218085106382979,0.398936170212766,0.228723404255319,0.154255319148936
s282.4,0.2,0.464864864864865,0.227027027027027,0.108108108108108
s282.5,0.221621621621622,0.454054054054054,0.210810810810811,0.113513513513514
s282.6,0.238578680203046,0.416243654822335,0.208121827411168,0.137055837563452
s282.7,0.262032085561497,0.385026737967914,0.240641711229947,0.112299465240642
s282.8,0.217877094972067,0.402234636871508,0.212290502793296,0.167597765363128
s282.9,0.195652173913043,0.445652173913043,0.21195652173913,0.146739130434783
